Time,KillerX,KillerY,KillerZ,VictimX,VictimY,VictimZ
1451262325,356.821716,2499.352539,-127.968750,308.790466,2496.379638,-127.968750
1451262325,356.821716,2499.352539,-127.968750,413.897827,2548.117919,-127.968750
1451262326,1934.668579,2714.972167,-127.968750,1831.294921,2701.149414,-127.968750
1451262328,691.119140,3157.321777,128.031250,1721.267578,2769.995361,128.031250
1451262329,645.583557,3340.978759,128.031250,855.565307,3390.035156,128.031250
1451262330,1447.572631,2905.342041,128.031250,1665.470458,2903.780273,128.031250
1451262331,1680.888305,2936.112792,142.031250,1128.562744,2868.402099,93.746131
1451262332,1741.343994,2720.739746,128.031250,1695.658203,2862.422363,128.031250
1451262332,609.020324,3881.916992,128.031250,540.955261,4022.220214,164.926849
1451262334,1408.457885,2573.700439,-127.968750,1312.368408,2714.323974,-127.968750
1451262334,1937.867797,1356.939208,64.031250,1951.803833,1486.021240,64.031250
1451262334,1718.298461,2865.173828,128.031250,1732.388305,3042.920410,128.031250
1451262339,1449.274414,2617.024414,-127.968750,1462.390991,2532.685302,-127.968750
1451262339,1936.000000,1536.000000,64.031250,1491.052734,3327.622070,134.537994
1451262340,1826.878784,3035.129882,128.031250,1936.000000,3040.000000,128.031250
1451262340,113.468620,3539.553955,-127.968750,231.658050,3408.576171,-127.968750
1451262340,1402.779663,2346.728027,-127.968750,1631.946044,2758.242919,-127.968750
1451262341,539.878540,808.480163,64.031250,686.276123,576.131835,64.031250
1451262341,478.825317,3466.878417,-127.968750,421.824035,3338.660400,-127.968750
1451262342,113.166091,4187.852050,128.031250,639.203002,4129.604492,128.031250
1451262342,1723.424560,2513.013671,128.031250,1805.987182,2343.662353,128.031250
1451262345,1453.989501,2252.190917,128.031250,1343.317993,2417.221435,128.031250
1451262347,424.777496,450.560485,64.031250,616.564208,442.236755,64.031250
1451262347,472.031250,2337.822509,400.031250,1193.233398,2756.157958,232.859832
1451262348,416.223999,288.031250,64.031250,495.652862,459.945129,64.031250
1451262349,196.667449,2203.450439,-127.968750,337.163055,2140.031250,-80.949218
1451262349,569.009094,4256.590820,131.876174,747.359252,4290.534179,128.031250
1451262350,1664.885620,2534.744628,128.031250,1530.568725,2712.678222,128.031250
1451262350,386.859832,4187.988769,128.031250,410.673431,4272.047363,152.868453
1451262352,581.565246,1216.669555,64.031250,592.357543,825.042480,64.031250
1451262354,89.174118,1627.489990,-127.968750,78.768661,1574.270507,-127.968750
1451262355,731.723449,4093.804931,128.031250,581.889038,4144.877929,128.031250
1451262357,553.278137,1041.859863,64.031250,588.446411,1065.953613,64.031250
1451262358,1626.125976,3307.914550,128.031250,1956.857177,3255.848632,128.031250
1451262360,106.580635,1597.568115,-127.968750,192.730667,1841.905883,-127.968750
1451262361,-18.584026,4220.639648,128.031250,281.152587,4227.751464,128.031250
1451262362,1185.594848,2248.759521,128.031250,1056.496459,2209.281005,128.031250
1451262363,1860.381103,2173.300537,128.031250,1987.835693,2138.480224,128.005661
1451262364,720.596862,3919.952148,128.031250,622.544982,3576.000488,295.031250
1451262365,-113.557235,2215.490966,-107.186447,22.867063,2879.266357,-94.584617
1451262366,1512.430786,-227.750869,78.330947,2030.444213,-68.808631,64.031250
1451262367,765.731201,3405.439453,128.031250,728.134643,3064.031250,128.031250
1451262369,1264.378173,3383.434570,128.031250,1269.223754,3335.403320,128.031250
1451262370,1520.812744,2459.917480,384.031250,1513.970214,2773.175292,384.031250
1451262371,1515.656860,-158.079666,95.873771,1731.379272,-235.559280,64.031250
